Timestamp,type,run,nWifi,nNR,sync,res,lenWifi,lenLte,CWmin,CWmax,CWmin_nr,CWmax_nr,cotWifi,cotNR,effWifi,effNR,pcWifi,pcNR,mean_delay_wifi_all,mean_delay_nru_all,std_delay_wifi,std_delay_nr,jfi
2022-06-02 01:13:40,M,1,2,1,1000,0,6000,6000,15,63,15,63,9.143759e-01,1.192796e-02,9.053227e-01,1.192796e-02,1.172411e-01,5.791506e-02,1.325479e+01,5.031957e+02,3.533253e-02,0,6.839381e-01
2022-06-02 01:13:58,M,1,2,2,1000,0,6000,6000,15,63,15,63,9.029905e-01,2.255904e-02,8.940500e-01,2.255904e-02,1.189253e-01,7.940942e-02,1.342189e+01,5.323212e+02,4.839059e-02,1.710768e+01,5.249634e-01
2022-06-02 01:14:19,M,1,2,4,1000,0,6000,6000,15,63,15,63,8.831468e-01,4.294248e-02,8.744028e-01,4.294248e-02,1.193451e-01,7.383966e-02,1.372345e+01,5.591545e+02,6.176478e-03,2.174588e+01,3.661043e-01
2022-06-02 01:14:43,M,1,2,8,1000,0,6000,6000,15,63,15,63,8.485604e-01,7.730964e-02,8.401588e-01,7.730964e-02,1.213805e-01,8.161842e-02,1.428279e+01,6.206904e+02,4.215190e-02,2.013027e+01,2.376083e-01
